Title,Business Category,Body,Trip Advisor ID,Quarter,Address Line 1,Address Line 2,Town,Postcode,Longitude,Latitude,Telephone Number,Website,Email Address,Monday Opening Times,Tuesday Opening Times,Wednesday Opening Times,Thursday Opening Times,Friday Opening Times,Saturday Opening Times,Sunday Opening Times,Bank Holiday Opening Times,Facebook,Instagram,Twitter,Youtube
Liverpool Victoria,"Professional Services, Financial and Legal Services","LV= has over 5,700 employees 17 UK offices. The Ipswich office is a major claims handling centre for the firm's motor insurance business, dealing with customer and third party claims including vehicle accent repairs and write-offs, fire and theft, personal injury and property claims. It is the firm's centre of excellence for commercial motor insurance, including company car fleets, vans, trucks and private hire vehicles.
LV's presence in Ipswich began with its acquisition five years ago of the former Highway business, which at the time had around 90 people in the town. After a period of steady growth, the total has increased with a target of 450. Ipswich is now the second-largest claims centre within the group, the largest being in Bournemouth. 
Announcing the latest 120 person expansion in Ipswich, Peter Horton, the mutual firm's chief operating officer, said Ipswich was chosen from among a number of options as a location for expansion because of the quality of the existing team's performance. He was aware of Ipswich as a major centre for insurance and he praised the spirit and calibre of the team at the LV offices, and the high staff retention and low absenteeism figures being achieved",,Central,Crown House,Crown Street,Ipswich,IP1 3HS,1.1523889,52.0598494,08000 289 822,www.lv.com,,09:00 - 07:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,CLOSED,CLOSED,CLOSED,https://www.facebook.com/LV/,,https://twitter.com/lv?lang=en-gb,https://www.youtube.com/user/lv
A & L Clinics,"Health and Beauty, Dentist, Doctors","Our doctors have over 35 years experience and insist on giving patients complete freedom of choice in planning their treatment. Consultations with a doctor can be arranged in order to discuss which treatment best suits you, and some consultations are free.



The practice has employed specialist and experienced doctors to perform a wide range of anti-ageing treatments, such as Wrinkle Relaxing Injections, dermal fillers and chemical facial peels as well as Denplan, dental implants and facial rejuvenation.



If you would like to book a consultation, or require further details, please contact a member of our team.


",,Saints,9 Lower Brook Street,,Ipswich,IP4 1AG,1.1560595,52.0553765,01473 287762,www.aandlclinics.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 19:00,09:00 -16:30,CLOSED,CLOSED,CLOSED,https://www.facebook.com/aandlclinics/,,https://twitter.com/aandlclinics,
Blue Inc,"Shopping, Clothing","The Company was founded back in 1912 originally trading as A. Levy and Son in East London. In 1968 the fascia Mr Byrite was established. Between 1997 and 2002 the stores were re-branded Blue Inc offering a young fashion menswear range. Following the acquisition of the business in 2006 by Marlow Retail, founded by Steven Cohen our CEO, Blue Inc rapidly expanding chain of stores across the UK to the present day of 200 stores.
",,Central,Sailmakers,Tavern Street,Ipswich,IP1 1DT,1.1539194,52.0567584,01473 871613,www.blueinc.co.uk,,09:00 - 18:00,09:00 - 18:00,09:00 -18:00,09:00 - 18:00,09:00 -18:00,08:00 - 16:00,10:00 - 16:30,10:00 - 00:00,https://www.facebook.com/BlueIncClothing/,https://www.instagram.com/blueincclothing/,https://twitter.com/blueinc?lang=en-gb,https://www.youtube.com/user/BlueIncClothing
Accessorize,"Shopping, Clothing, Jewellery","Accessorize is devoted to bringing the most exciting and eclectic products to the high street. With its own in-house design team, Accessorize holds a unique position on the high street with its inspirational, globally sourced, well priced and good quality collection of fashion accessories. Seasonal themes run through the brand, always presenting an individual take on the latest trends. The product range created at Accessorize is extensive and includes every kind of accessory imaginable.",,Central,29 Tavern Street,,Ipswich,IP1 3AP,1.1551235,52.0575621,01473 231866,uk.accessorize.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,10:30 - 16:30,10:00 - 16:00,https://www.facebook.com/AccessorizeUK/,https://www.instagram.com/accessorize/,https://twitter.com/Accessorize,https://www.youtube.com/user/AccessorizeOfficial
Age UK Suffolk,"Shopping, Budget Charity and Convenience","Whether you're looking for a bargain or information and advice, Age UK is the place for you. We have a wide selection of donated clothes, accessories, books, media and home ware in every shop, plus all our profits go towards helping improve later life.
We don't just offer donated goods, as our shops sell brand new products including gifts, thermals, home ware, food and many more great items all at fantastically low prices. No Age UK shop is the same and you are bound to find something of interest.",,Central,36-46 Carr Street,,Ipswich,IP4 1EW,1.158135,52.0571305,01473 217731,www.ageuk.org.uk/suffolk,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,CLOSED,CLOSED,https://en-gb.facebook.com/AgeUKSuffolk/,https://www.instagram.com/ageuksuffolk/,https://twitter.com/AgeUKSuffolk,https://www.youtube.com/channel/UCTmrlxUgb3KooK81D3VfK5w
"Superdrug, Tavern St","Shopping, Clothing","Shop the biggest brands in everyday Health & Beauty and exclusive products all at great prices.
With big make up brands like Barry M, Bourjois, Rimmel London, Max Factor and lots more; summer care, tanning products, perfume, travel minis, baby products - everything to keep you and your family looking and feeling beautiful.",,Central,Superdrug,18-19 Tavern Street,Ipswich,IP1 3AP,1.154107,52.057837,01473 231285,https://www.superdrug.com/store/ipswich%20tavern%20st,,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,10:30 - 16:30,10:30 - 16:30,https://www.facebook.com/Superdrug/,https://www.instagram.com/superdrug/,https://twitter.com/superdrug,https://www.youtube.com/user/superdrugloves
iStore,"Shopping, Electrical",Dedicated to everything apple.,,Central,9-11 Tavern Street,,Ipswich,IP1 3AA,1.1539622,52.0578507,01473 353304,www.albion.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:30 - 16:30,10:30 - 00:00,https://en-gb.facebook.com/istoreipswich/,,https://twitter.com/istoreipswich,
Ann Summers,"Shopping, Clothing","Sexy, Daring, Provocative and; Naughty ,
We push boundaries and; buttons to give our customers exactly what they want.
Ann Summers is an iconic empire and multi-channel retailer.",,Westgate,36 Westgate Street,,Ipswich,IP1 3ED,1.1505602,52.0588111,01473 384119,www.annsummers.com,,09:30 - 17:30,09:30 - 17:30,09:30 -17:30,09:30 - 17:30,09:30 -17:30,09:30 - 17:30,10:30 - 16:30,10:30 - 10:30,https://www.facebook.com/AnnSummersOfficial,https://www.instagram.com/annsummers/,https://twitter.com/AnnSummers,https://www.youtube.com/user/AnnSummersTV
Aqua Eight,"Food and Drink, Fine Dining, Oriental","Aqua Eight offers destination dining with its ultra-stylish design and its fusion of cuisine from across Asia. Aqua Restaurant provides lunchtime and evening dining with Pan Asian cuisine. 
A wide variety of dishes and menus is offered, including A La Carte, Set Lunch/Dinners, Vegetarian, Vegan and Gluten-Free. Signature dishes include black cod in miso and soft shelled crab with chilli and curry leaves. 
Aqua Restaurant is family friendly. They offer a 6pm sitting in addition to a 9pm sitting on Fridays and Saturdays only. Their customers are passionate about fine wine and they serve an extensive list of white, red and sparkling wine and champagne (many available by single glass too). They serve ""flights of wine"" with the set dinners. 
Aqua Bar provides a relaxed atmosphere for over 25's with an extensive selection of spirits, beers, champagnes and cocktails. The Small Eats Pan Asian mezze style dishes are ideal for informal dining in the Bar or Aqua Garden, as appetisers or for diners with smaller appetites. 
Aqua Garden, open after 6 pm and at weekends, is available for private parties and function hire, BBQ's, gourmet evenings and Charity events. This secluded garden is unique in design, featuring our family shrine, a water sculpture and comfortable seating areas that are heated and undercover. It is ideal for a quiet drink midweek and at weekends it's our party space for DJ and live music events.  
TripAdvisor Certificate of Excellence each year from 2012-2017
Winner of ""Best UK Restaurant "" in Chelsea Monthly's UK Lifestyle & Luxury Awards 2014
Runner Up in Guardian Food and Drink Awards, MSN's Top Romantic Restaurants in the UK
",807742,Central,8 Lion Street,,Ipswich,IP1 1DQ,1.1517759,52.0575873,01473 218989,www.aquaeight.com,,Closed,12:00-14:30 18:00-21:30,12:00-14:30 & 18:00-21:30,12:00-14:30 & 18:00-21:30,12:00-14:30 & 18:00-23:30,12:00-14:30 & 18:00-23:30,17:30 - 21:30,Closed,https://www.facebook.com/aquaeight/,https://www.instagram.com/aquaeight/,https://twitter.com/aquaeight8,
Argos,"Shopping, Electrical, Home and Garden, Jewellery, Shopping Centres and Department Stores",Part of Home Retail Group. Home Retail Group is the market leader in the home and general merchandise market.,,Eastgate,53-61 Carr Street,,Ipswich,IP4 1HB,1.1586753,52.0575147,0845 165 7489,www.argos.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,08:30 - 17:30,10:00 - 16:00,10:00 - 10:00,https://www.facebook.com/argos,,https://twitter.com/Argos_online,https://www.youtube.com/user/argoscouk
Arlingtons Brasserie,"Food and Drink, French","Arlingtons is a stylish brasserie, tucked away in the impressive, Grade II listed, former Ipswich Museum building. French and British seasonal flavours, exquisite wines and a convivial atmosphere perfect for morning coffee, lunch, dinner and cocktails.
 
With seating for 140 upstairs, a French-themed caf e downstairs, and the well stocked deli for your take home treats, Arlingtons Brasserie is Ipswich's most interesting restaurant by far. Come and find out more about our unique historic building. 
Arlingtons also has free wi-fi for paying customers. 
Arlingtons offers a refund on parking to anyone eating in the Brasserie. Print your receipt to get back £1 per person per day!
Check out our http://www.lovefood.com/journal/opinions/30760/eat-and-drink-the-best-of-ipswichlovefood.com review.",1216773,Westgate,13 Museum Street,,Ipswich,IP11HE,1.1507068,52.0576475,01473 230293,www.arlingtonsbrasserie.co.uk,,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,Closed,Closed,https://www.facebook.com/arlingtons/,,,
Ask,"Food and Drink, Italian","Everything done here is inspired by Italy from the authentic Italian food to the easy going atmosphere, warm service and fresh design.",730337,Franciscan,23 Cardinal Park,,Ipswich,IP1 1AX,1.1507892,52.0532692,01473 210443,www.askitalian.co.uk,,11:00 - 22:00,11:00 - 22:00,11:00 -22:00,11:00 - 22:00,11:00 -23:00,11:00 - 23:00,11:00 - 22:00,11:00 - 23:00,https://www.facebook.com/ASKItalian/,https://www.instagram.com/askitalian/,https://twitter.com/askitalian?lang=en-gb,https://www.youtube.com/user/askitalian
